,page,link,title,Article,parsed_link,Summary
0,0,,,,, 
1,1,https://www.soti.net/mc/help/v14.0/en/banner.html,,Help Version: 14.4 14.3 14.2 14.1 14.0 13 12 11 10 9 8 7,banner, banner
2,2,https://www.soti.net/mc/help/v14.0/en/toc.html,MobiControl Help,,toc,MobiControl Help toc
3,3,https://www.soti.net/mc/help/v14.0/en/search.html,Search,"Find pages containing: Match case Match whole word only To use Search, you must enable JavaScript in your web browser. Match case Match whole word only",search,Search search
4,4,https://www.soti.net/mc/help/v14.0/en/start.html,Welcome to SOTI MobiControl Help,"SOTI MobiControl Help SOTI MobiControl is an enterprise mobile management solution dedicated to helping you manage and monitor your enterprise devices. Use SOTI MobiControl Help to learn about all of the features available through SOTI MobiControl . As your employees increasingly rely on their devices to keep them connected and performing optimally, finding tools that address your evolving needs is vital for success. SOTI MobiControl allows you to manage your enterprise devices - and their data, connections, security, and so on - from a central location. The following is a (very) abbreviated list of SOTI MobiControl features: : access (and troubleshoot) your devices remotely : control the software deployed to your devices : safeguard enterprise data with restricted content repositories, enforced connection policies and more : find your devices and monitor their movements : gather vast amounts of data regarding your devices : apply settings across wide swathes of your deployment at once Furthermore, the SOTI MobiControl device search makes it easy to craft precise search queries that allow you to find and target exactly the devices you want. Whether you're running an on-premises deployment or taking advantage of the SOTI MobiControl Cloud option, is simple. Once you're set up, you'll be ready to begin enrolling your devices and managing them from the SOTI MobiControl console. Hover over different areas in the image below to see what you can do right from the Devices view. Click each area to learn more. Tip: and check out the SOTI . © 2019 Email: © 2019 Email:",start,Welcome to SOTI MobiControl Help start
5,5,https://www.soti.net/mc/help/v14.0/en/setup/setupindex.html,Setting Up SOTI MobiControl,"SOTI MobiControl This section provides instructions for installing, activating, and upgrading SOTI MobiControl instances. Once you have installed SOTI MobiControl , you will be able to manage your devices from a central system. © 2019 Email: © 2019 Email:",setup setupindex,Setting Up SOTI MobiControl setup setupindex
6,6,https://www.soti.net/mc/help/v14.0/en/setup/installing/installation.html,Setting Up SOTI MobiControl,"SOTI MobiControl Each SOTI MobiControl installation consists of three components: console database deployment server The SOTI MobiControl console is the main interface for managing your devices. It communicates with the deployment server, exchanging information and pushing commands to devices. The deployment server communicates with enrolled devices and sends device information to the database. The database stores device information such as status, configurations, and data deployed to the device. If you have a Microsoft SQL Server that meets the requirements, you do not need to install a new version. Otherwise, the SOTI MobiControl installer includes a free Microsoft SQL Server 2014 R2 Express Edition for your use. Deployment Options SOTI MobiControl supports two types of deployments: cloud and on-premises. If you are planning a cloud deployment, to get started. Once you are set up, see for details on administering your cloud environment. Both online and offline on-premises deployments are supported by SOTI MobiControl . However, setting up your offline deployments may require some additional assistance from . Note: Before beginning the installation process, review the to ensure your environment meets the requirements for a successful SOTI MobiControl deployment. If you run into issues installing SOTI MobiControl , for help. Parent topic: © 2019 Email: © 2019 Email:",setup installing installation,Setting Up SOTI MobiControl setup installing installation
7,7,https://www.soti.net/mc/help/v14.0/en/setup/installing/system_requirements.html,System Requirements,"Your environment must meet the following requirements to successfully install and deploy SOTI MobiControl . Unless noted, these are the minimum requirements for a deployment of less than 1000 devices. Above 1000 devices, it is highly recommended that you consider upgrading the components for better performance. Note: Both the deployment server and the management server support load balancing. However, the SOTI MobiControl console is not kept in global cache, therefore it is important to use sticky sessions. Tip: If you do not want to run SOTI MobiControl server components using a Local System account, you can . General Requirements Component Recommended Level Operating System Windows Server 2012 R2 Windows Server 2016 Memory (RAM) 10 to 500 devices : 2GB+ 500 to 1000 devices : 4 GB+ 1000+ devices : 8 GB+ Processor Speed 10 to 500 devices : 2 GHz or faster 500 to 1000 devices : 2 GHz dual core or faster 1000+ devices : 3 GHz quad core or faster These are the minimum requirements. If there is constant data collection and configurations, SOTI recommends upgrading to higher clock speeds. Storage The application uses approximately 300 MB of storage space Browsers Google Chrome Internet Explorer 11 Mozilla Firefox Other .NET Framework 4.7 installed with all critical updates MSXML 6.0 - Required on the deployment server to activate SOTI MobiControl Java SE 8 Optional, depending on your requirements: If managing Android or iOS devices : DNS (accessible externally) If managing iOS devices : APNS certificate (with password and APNS topic string) If the SOTI MobiControl console is configured to use directory service integrated security : LDAPS DNS name Ports and IP Addresses See the default and that SOTI MobiControl uses to communicate. Database Requirements The SOTI MobiControl installer comes bundled with Microsoft SQL Server 2014 R2 Express Edition, a lightweight version of SQL Server 2014. It is typically adequate for deployments of 10-1000 devices. For deployments of more than 1000 devices, consider using Microsoft SQL Server 2014 or later as more robust versions have numerous scalability and performance improvements. You can install the database and deployment server on the same host server. However, for deployments of more than 500 devices, it is recommended that you use a standalone database. Note: Ensure the TCP/IP network protocol is enabled in your SQL Server network configuration. Database Permissions When installing SOTI MobiControl , you must be either a SysAdmin or a DbCreator with additional ALTER ANY LOGIN permissions. When upgrading SOTI MobiControl , you must also have ALTER DATABASE permissions. When performing regular operations for SOTI MobiControl Main and Archive databases, the user must have the following permissions: Db_datareader Db_datawriter Permission for execution of all procedures Component Recommended Level Software Microsoft SQL Server 2014 Microsoft SQL Server 2016 Operating System Windows Server 2012 R2 Windows Server 2016 Memory (RAM) 4 GB or more Processor Speed 2 GHz Dual Core or faster Storage Approximately 350 MB for installation 10 to 500 devices : 2 GB for database growth 500 to 1000 devices : 4 GB for database growth 1000+ devices : at least 5 GB for database growth Note: The size of the database is dependent on the amount of historical log information that you set SOTI MobiControl to retain, as well as the frequency with which package deployment is used. Parent topic: © 2019 Email: Operating System Windows Server 2012 R2 Windows Server 2016 Memory (RAM) 10 to 500 devices : 2GB+ 500 to 1000 devices : 4 GB+ 1000+ devices : 8 GB+ Processor Speed 10 to 500 devices : 2 GHz or faster 500 to 1000 devices : 2 GHz dual core or faster 1000+ devices : 3 GHz quad core or faster These are the minimum requirements. If there is constant data collection and configurations, SOTI recommends upgrading to higher clock speeds. Storage The application uses approximately 300 MB of storage space Browsers Google Chrome Internet Explorer 11 Mozilla Firefox Other .NET Framework 4.7 installed with all critical updates MSXML 6.0 - Required on the deployment server to activate SOTI MobiControl Java SE 8 Optional, depending on your requirements: If managing Android or iOS devices : DNS (accessible externally) If managing iOS devices : APNS certificate (with password and APNS topic string) If the SOTI MobiControl console is configured to use directory service integrated security : LDAPS DNS name Ports and IP Addresses See the default and that SOTI MobiControl uses to communicate. Software Microsoft SQL Server 2014 Microsoft SQL Server 2016 Operating System Windows Server 2012 R2 Windows Server 2016 Memory (RAM) 4 GB or more Processor Speed 2 GHz Dual Core or faster Storage Approximately 350 MB for installation 10 to 500 devices : 2 GB for database growth 500 to 1000 devices : 4 GB for database growth 1000+ devices : at least 5 GB for database growth Note: The size of the database is dependent on the amount of historical log information that you set SOTI MobiControl to retain, as well as the frequency with which package deployment is used. © 2019 Email:",setup installing system requirements,System Requirements setup installing system requirements
8,8,https://www.soti.net/mc/help/v14.0/en/setup/installing/network_ports.html,Network Ports,"SOTI MobiControl uses the following ports to communicate between components. Tip: For an interactive guide to SOTI MobiControl network connections, see the . Deployment Server Connections Component Name Protocol Port(s) SOTI MobiControl Deployment Server Note: For deployments with multiple deployment servers, for caching purposes. Binary 5495 SOTI MobiControl Management Server Binary 5494/5495 Amazon App Store HTTPS 443 Apple Push Notification Service (APNS) Binary 2195/2196 Apple DEP HTTPS 443 Apple VPP HTTPS 443 Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic Certification Authority - HTTP HTTPS 443 Google Play HTTPS 443 iTunes HTTPS 443 LDAP LDAP/S 389/636 Microsoft SQL Server ( SOTI MobiControl Database) Binary 1433 SOTI MobiControl Cloud Link Agent HTTPS 443 SOTI MobiControl Device Agents Binary/HTTPS 5494, 443 SOTI MobiControl Search HTTPS 9200, 9300 Native MDM HTTPS 443 SOTI Services HTTP/S 80, 443 Remote Control Binary 5494 Windows Notification Service (WNS) HTTP/S 80, 443 Management Server Connections Component Name Protocol Port(s) SOTI MobiControl Deployment Server Binary 5494/5495 Amazon App Store HTTPS 443 Apple Push Notification Service (APNS) Binary 2195/2196 Apple DEP HTTPS 443 Apple VPP HTTPS 443 Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic Certification Authority - HTTP HTTPS 443 Enterprise Resource Gateway (ERG) HTTPS 443 Google Play HTTPS 443 iTunes HTTPS 443 LDAP LDAP/S 389/636 Microsoft SQL Server ( SOTI MobiControl Database) Binary 1433 SOTI MobiControl Cloud Link Agent HTTPS 443 SOTI Services HTTP/S 80, 443 SOTI MobiControl Search HTTPS 9200, 9300 SOTI MobiControl Console HTTPS 443 SOTI Assist Server HTTPS 443 Miscellaneous Connections Component A Component B Protocol Port(s) Enterprise Resource Gateway (ERG) Exchange Binary 443 Enterprise Resource Gateway (ERG) SharePoint/WebDAV HTTPS/WebDAV 443 SOTI MobiControl Cloud Link Agent Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic SOTI MobiControl Cloud Link Agent Certification Authority - HTTP HTTPS 443 SOTI Assist Server Microsoft SQL Server ( SOTI Assist Database) Binary 1433 SOTI Assist Server SOTI Assist UI HTTPS 443 SOTI Assist UI Remote Control HTTPS (web sockets) 443 SOTI Hub Enterprise Resource Gateway (ERG) HTTPS 443 SOTI Surf Enterprise Resource Gateway (ERG) HTTPS 443 SOTI MobiControl Console Remote Control HTTPS (web sockets) 443 Parent topic: © 2019 Email: SOTI MobiControl Deployment Server Note: For deployments with multiple deployment servers, for caching purposes. Binary 5495 SOTI MobiControl Management Server Binary 5494/5495 Amazon App Store HTTPS 443 Apple Push Notification Service (APNS) Binary 2195/2196 Apple DEP HTTPS 443 Apple VPP HTTPS 443 Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic Certification Authority - HTTP HTTPS 443 Google Play HTTPS 443 iTunes HTTPS 443 LDAP LDAP/S 389/636 Microsoft SQL Server ( SOTI MobiControl Database) Binary 1433 SOTI MobiControl Cloud Link Agent HTTPS 443 SOTI MobiControl Device Agents Binary/HTTPS 5494, 443 SOTI MobiControl Search HTTPS 9200, 9300 Native MDM HTTPS 443 SOTI Services HTTP/S 80, 443 Remote Control Binary 5494 Windows Notification Service (WNS) HTTP/S 80, 443 SOTI MobiControl Deployment Server Binary 5494/5495 Amazon App Store HTTPS 443 Apple Push Notification Service (APNS) Binary 2195/2196 Apple DEP HTTPS 443 Apple VPP HTTPS 443 Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic Certification Authority - HTTP HTTPS 443 Enterprise Resource Gateway (ERG) HTTPS 443 Google Play HTTPS 443 iTunes HTTPS 443 LDAP LDAP/S 389/636 Microsoft SQL Server ( SOTI MobiControl Database) Binary 1433 SOTI MobiControl Cloud Link Agent HTTPS 443 SOTI Services HTTP/S 80, 443 SOTI MobiControl Search HTTPS 9200, 9300 SOTI MobiControl Console HTTPS 443 SOTI Assist Server HTTPS 443 Enterprise Resource Gateway (ERG) Exchange Binary 443 Enterprise Resource Gateway (ERG) SharePoint/WebDAV HTTPS/WebDAV 443 SOTI MobiControl Cloud Link Agent Certification Authority - DCOM Note: Must be on the same domain Binary Dynamic SOTI MobiControl Cloud Link Agent Certification Authority - HTTP HTTPS 443 SOTI Assist Server Microsoft SQL Server ( SOTI Assist Database) Binary 1433 SOTI Assist Server SOTI Assist UI HTTPS 443 SOTI Assist UI Remote Control HTTPS (web sockets) 443 SOTI Hub Enterprise Resource Gateway (ERG) HTTPS 443 SOTI Surf Enterprise Resource Gateway (ERG) HTTPS 443 SOTI MobiControl Console Remote Control HTTPS (web sockets) 443 © 2019 Email:",setup installing network ports,Network Ports setup installing network ports
9,9,https://www.soti.net/mc/help/v14.0/en/setup/installing/soti_services.html,SOTI Services,"Services The SOTI Services include the Activation Service, the Agent Builder Service, the Enrollment Service and the Location Service. These services help to ensure that your SOTI MobiControl deployment is provided with: the latest certified version of device agents fast and easy enrollment of devices updates for licenses All SOTI services are accessed using HTTPS on port 443. It is important to ensure that the following fully qualified domain names and/or IP addresses are whitelisted with your firewall, allowing unrestricted communication between your SOTI MobiControl deployment and the SOTI data center. Service Name Service URL Activation Service activate2.soti.net Agent Builder Service activate2.soti.net Enrollment Service mc-enroll.soti.net Location Service location2.soti.net The SOTI Services are load-balanced across the following IP addresses: IP Addresses 54.208.149.103 54.208.194.169 54.209.62.205 54.209.186.178 54.209.186.251 54.209.207.237 Parent topic: © 2019 Email: Activation Service activate2.soti.net Agent Builder Service activate2.soti.net Enrollment Service mc-enroll.soti.net Location Service location2.soti.net 54.208.149.103 54.208.194.169 54.209.62.205 54.209.186.178 54.209.186.251 54.209.207.237 © 2019 Email:",setup installing soti services,SOTI Services setup installing soti services
