,Article,Summary
1,help version,banner
3,find page containing match case match whole word to use search must enable javascript web browser match case match whole word,search
4,soti mobicontrol help soti mobicontrol enterprise mobile management solution dedicated helping manage monitor enterprise device use soti mobicontrol help learn feature available soti mobicontrol a employee increasingly rely device keep connected performing optimally finding tool address evolving need vital success soti mobicontrol allows manage enterprise device data connection security central location the following abbreviated list soti mobicontrol feature access troubleshoot device remotely control software deployed device safeguard enterprise data restricted content repository enforced connection policy find device monitor movement gather vast amount data regarding device apply setting across wide swathe deployment furthermore soti mobicontrol device search make easy craft precise search query allow find target exactly device want whether youre running onpremises deployment taking advantage soti mobicontrol cloud option simple once youre set youll ready begin enrolling device managing soti mobicontrol console hover different area image see right device view click area learn tip check soti email,welcome soti mobicontrol help start
5,soti mobicontrol this section provides instruction installing activating upgrading soti mobicontrol instance once installed soti mobicontrol able manage device central system email,setting up soti mobicontrol setup setupindex
6,soti mobicontrol each soti mobicontrol installation consists three component console database deployment server the soti mobicontrol console main interface managing device it communicates deployment server exchanging information pushing command device the deployment server communicates enrolled device sends device information database the database store device information status configuration data deployed device if microsoft sql server meet requirement need install new version otherwise soti mobicontrol installer includes free microsoft sql server express edition use deployment option soti mobicontrol support two type deployment cloud onpremises if planning cloud deployment get started once set see detail administering cloud environment both online offline onpremises deployment supported soti mobicontrol however setting offline deployment may require additional assistance note before beginning installation process review ensure environment meet requirement successful soti mobicontrol deployment if run issue installing soti mobicontrol help parent topic email,setting up soti mobicontrol setup installing installation
7,your environment must meet following requirement successfully install deploy soti mobicontrol unless noted minimum requirement deployment le device above device highly recommended consider upgrading component better performance note both deployment server management server support load balancing however soti mobicontrol console kept global cache therefore important use sticky session tip if want run soti mobicontrol server component using local system account general requirement component recommended level operating system window server window server memory ram device gb device gb device gb processor speed device ghz faster device ghz dual core faster device ghz quad core faster these minimum requirement if constant data collection configuration soti recommends upgrading higher clock speed storage the application us approximately mb storage space browser google chrome internet explorer mozilla firefox other net framework installed critical update msxml required deployment server activate soti mobicontrol java se optional depending requirement if managing android io device dns accessible externally if managing io device apns certificate password apns topic string if soti mobicontrol console configured use directory service integrated security ldaps dns name port ip address see default soti mobicontrol us communicate database requirement the soti mobicontrol installer come bundled microsoft sql server express edition lightweight version sql server it typically adequate deployment device for deployment device consider using microsoft sql server later robust version numerous scalability performance improvement you install database deployment server host server however deployment device recommended use standalone database note ensure tcpip network protocol enabled sql server network configuration database permission when installing soti mobicontrol must either sysadmin dbcreator additional alter any login permission when upgrading soti mobicontrol must also alter database permission when performing regular operation soti mobicontrol main archive database user must following permission dbdatareader dbdatawriter permission execution procedure component recommended level software microsoft sql server microsoft sql server operating system window server window server memory ram gb processor speed ghz dual core faster storage approximately mb installation device gb database growth device gb database growth device least gb database growth note the size database dependent amount historical log information set soti mobicontrol retain well frequency package deployment used parent topic email operating system window server window server memory ram device gb device gb device gb processor speed device ghz faster device ghz dual core faster device ghz quad core faster these minimum requirement if constant data collection configuration soti recommends upgrading higher clock speed storage the application us approximately mb storage space browser google chrome internet explorer mozilla firefox other net framework installed critical update msxml required deployment server activate soti mobicontrol java se optional depending requirement if managing android io device dns accessible externally if managing io device apns certificate password apns topic string if soti mobicontrol console configured use directory service integrated security ldaps dns name port ip address see default soti mobicontrol us communicate software microsoft sql server microsoft sql server operating system window server window server memory ram gb processor speed ghz dual core faster storage approximately mb installation device gb database growth device gb database growth device least gb database growth note the size database dependent amount historical log information set soti mobicontrol retain well frequency package deployment used email,system requirement setup installing system requirement
8,soti mobicontrol us following port communicate component tip for interactive guide soti mobicontrol network connection see deployment server connection component name protocol port soti mobicontrol deployment server note for deployment multiple deployment server caching purpose binary soti mobicontrol management server binary amazon app store http apple push notification service apns binary apple dep http apple vpp http certification authority dcom note must domain binary dynamic certification authority http google play http itunes http ldap ldaps microsoft sql server soti mobicontrol database binary soti mobicontrol cloud link agent http soti mobicontrol device agent binaryhttps soti mobicontrol search http native mdm http soti service http remote control binary window notification service wns http management server connection component name protocol port soti mobicontrol deployment server binary amazon app store http apple push notification service apns binary apple dep http apple vpp http certification authority dcom note must domain binary dynamic certification authority http enterprise resource gateway erg http google play http itunes http ldap ldaps microsoft sql server soti mobicontrol database binary soti mobicontrol cloud link agent http soti service http soti mobicontrol search http soti mobicontrol console http soti assist server http miscellaneous connection component protocol port enterprise resource gateway erg exchange binary enterprise resource gateway erg sharepointwebdav httpswebdav soti mobicontrol cloud link agent certification authority dcom note must domain binary dynamic soti mobicontrol cloud link agent certification authority http soti assist server microsoft sql server soti assist database binary soti assist server soti assist ui http soti assist ui remote control http web socket soti hub enterprise resource gateway erg http soti surf enterprise resource gateway erg http soti mobicontrol console remote control http web socket parent topic email soti mobicontrol deployment server note for deployment multiple deployment server caching purpose binary soti mobicontrol management server binary amazon app store http apple push notification service apns binary apple dep http apple vpp http certification authority dcom note must domain binary dynamic certification authority http google play http itunes http ldap ldaps microsoft sql server soti mobicontrol database binary soti mobicontrol cloud link agent http soti mobicontrol device agent binaryhttps soti mobicontrol search http native mdm http soti service http remote control binary window notification service wns http soti mobicontrol deployment server binary amazon app store http apple push notification service apns binary apple dep http apple vpp http certification authority dcom note must domain binary dynamic certification authority http enterprise resource gateway erg http google play http itunes http ldap ldaps microsoft sql server soti mobicontrol database binary soti mobicontrol cloud link agent http soti service http soti mobicontrol search http soti mobicontrol console http soti assist server http enterprise resource gateway erg exchange binary enterprise resource gateway erg sharepointwebdav httpswebdav soti mobicontrol cloud link agent certification authority dcom note must domain binary dynamic soti mobicontrol cloud link agent certification authority http soti assist server microsoft sql server soti assist database binary soti assist server soti assist ui http soti assist ui remote control http web socket soti hub enterprise resource gateway erg http soti surf enterprise resource gateway erg http soti mobicontrol console remote control http web socket email,network port setup installing network port
9,service the soti service include activation service agent builder service enrollment service location service these service help ensure soti mobicontrol deployment provided latest certified version device agent fast easy enrollment device update license all soti service accessed using http port it important ensure following fully qualified domain name andor ip address whitelisted firewall allowing unrestricted communication soti mobicontrol deployment soti data center service name service url activation service activatesotinet agent builder service activatesotinet enrollment service mcenrollsotinet location service locationsotinet the soti service loadbalanced across following ip address ip address parent topic email activation service activatesotinet agent builder service activatesotinet enrollment service mcenrollsotinet location service locationsotinet email,soti service setup installing soti service
10,soti mobicontrol support wide range product including android io linux window wireless printer device for simplicity soti mobicontrol group related device type platform tab refer table full list supported operating system associated platform note some device require installation soti mobicontrol device agent management purpose the device agent us approximately mb device storage this platform tab manages device type android plus device running android later io device running io later including iphone ipad ipod touch device linux device running ubuntu later raspbian later printer zebra wireless printer window desktop classic desktop device running window earlier window mobilece device running ce net later window mobile later pocket pc window modern device running window phone later supported tl version secure communication depends transport layer security tl version supported soti mobicontrol deployment server device platform the soti mobicontrol deployment server support following tl cipher suite tlsrsawithaesgcmsha tlsecdheecdsawithaescbcsha tlsecdheecdsawithaesgcmsha tlsecdhersawithaescbcsha tlsecdhersawithaesgcmsha the tl version supported device platform provided following table device platform tl version window ce tl android tl android tl io tl window phone tl window phone tl window mobile tl parent topic email android plus device running android later io device running io later including iphone ipad ipod touch device linux device running ubuntu later raspbian later printer zebra wireless printer window desktop classic desktop device running window earlier window mobilece device running ce net later window mobile later pocket pc window modern device running window phone later window ce tl android tl android tl io tl window phone tl window phone tl window mobile tl email,supported device setup installing supported device
11,soti mobicontrol ensure environment meet to install soti mobicontrol download soti mobicontrol installer move installer computer want install soti mobicontrol run soti mobicontrol installer administrator the soti mobicontrol setup wizard launch follow instruction wizard install soti mobicontrol soti mobicontrol installed computer you need register activate enroll device parent topic related reference email,installing soti mobicontrol setup installing
