,IDs,Content
0,0,カスタマイザー タイトル 設定 カスタマイザー サブタイトル 設定 MobiControl 設定 順序 MobiControl
1,0,設定 順序 MobiControl 設定 順序 行い 端末 OS 対象 オンプレミス
2,0,MobiControl サーバ 必要 な 設定 事項 iOS 端末 macOS コンピュータ
3,0,必須 接続 プロファイル 作成 ADDS Active Directory Domain Service サーバ
4,0,間 ADFS Active Directory Federation Service 間 Azure AD 間
5,0,Windows Windows Modern 管理 必須 会社 支給 端末 iOS Android
6,0,複数 従業 共用 必須 Apple Google Microsoft 管理 アカウント 取得
7,0,目的 Apple 社 サイト サインイン できる 権限 Apple 製品 設定
8,0,App ストア アプリ 購入 managed Google Play アプリ アプリカタログ 使っ
9,0,配布 つ アカウント 必要 但し Android 端末 Android Plus モード
10,0,設定 アカウント 不要 WNS 使っ Windows PC リモート 管理 企業
11,0,団体 組織 沿っ 階層 端末 グループ 作成 組織 入力 な
12,0,作業 端末 OS 対象 端末 登録 作成 端末 所定 端末
13,0,グループ 登録 端末 登録 目的 端末 ユーザ 認証 端末 型式
14,0,設定 オプション ある つ 端末 グループ に対し 複数 端末 登録
15,0,設定 可能 端末 OS 対象 端末 OS によって 作成 方法
16,0,異なる 端末 挙動 に関する 設定 項目 設定 順序 変え 結構
17,0,構成 プロファイル 作成 情報 漏洩 対策 WiFi VPN メール 設定
18,0,端末 OS 対象 詳細 設定 設定 端末 OS 対象 端末
19,0,登録 アプリカタログルール 作成 端末 OS 対象 アプリ 端末 配付 インストール
20,0,Apple 製品 除く 端末 OS 対象 ドキュメント 画像 動画 端末
21,0,配付 iOS 端末 Android 端末 対象 項 端末 挙動 設定
22,0,完了 い なく 端末 登録 可能 また 端末 登録 項
23,0,追加 変更 可能 端末 OS 対象 端末 OS 設定 方法
24,0,インデックス 設定 クリック 説明 ページ メニュー 現れ 端末 設定 分野
25,0,構成 プロファイル 詳細 設定 詳しく 参照 端末 MobiControl サーバ 登録
26,0,概要 端末 登録 作成 登録 ID 登録 URL 生成 れ
27,0,登録 URL ブラウザ 入力 端末 所定 端末 グループ 登録 れ
28,0,また 端末 OS によって MobiControl エージェント ソフト ダウンロード 登録 ID
29,0,入力 端末 所定 端末 グループ 登録 れ コンソール エージェント 生成
30,0,Setup INI ファイル 同時に 生成 れ エージェント インストーラ 同じ フォルダ
31,0,Setup INI ファイル 配置 エージェント インストール 所定 端末 グループ 登録
32,0,れ 登録 ID 登録 URL Setup INI ファイル により 端末
33,0,MobiControl デプロイメントサーバ URL 知り アクセス 続け 登録 ID 登録 URL
34,0,Setup INI ファイル 一意的 対応 端末 登録 自ら 端末 シリアル
35,0,番号 属性 情報 申告 つ 端末 登録 端末 登録 なる
36,0,端末 グループ はつ 端末 登録 アクセス き た 端末 属性
37,0,情報 MobiControl マネージメント サーバ 所定 端末 グループ フォルダ 保存 端末
38,0,登録 完了 端末 登録 に関して インデックス 端末 セットアップ 操作 クリック
39,0,説明 ページ 参照 端末 初期 設定 必要 初期 設定 により
40,0,OS レベル MobiControl 管理 対象 iOS 端末 Android 端末 設定
41,0,ADDS ADFS 認証 受ける 必須 い Windows PC Windows Modern
42,0,設定 Google 管理 アカウント managed Google アカウント 使用 一方 managed
43,0,GooglePlay アカウント 使用 ADDS ADFS 認証 必須 ませ ん データ
44,0,コンテンツ 送付 モバイル デバイス PC データ コンテンツ 送る 必要 また
45,0,モバイル デバイス 操作 社内 コンテンツ 入手 たい という 要望 MobiControl
46,0,ファイル 同期 コンテンツ ライブラリ イントラネットゲートウェイ 用意 い ファイル 同期 運用
47,0,方法 端末 サーバ 特定 フォルダ 間 送受 スケジュール 基づき 自動的
48,0,送受 iOS 端末 アプリ 使う データ 端末 アプリ 生成 データ
49,0,対象 文書 写真 動画 コンテンツ どの コンテンツ ダウンロード 端末 ユーザ
50,0,任意 モバイル 端末 向け 意図 持っ コンテンツ 予め ライブラリ アップ
51,0,ロード おく 必要 ある 文書 写真 動画 コンテンツ 社内 ファイル
52,0,サーバ リポジトリサーバ 端末 アクセス ダウンロード モバイル 端末 向け 意図 意識
53,0,せ ず コンテンツ ファイル サーバ 保存 おけ ば よい ファイル
54,0,サーバ 仕様 WebDAV SharePoint iOS アドオン た アプリ 傘下 フォルダ
55,0,対象 AndroidWindows 系 任意 フォルダ ダウンロード 指定 可能 コンテンツ 形式
56,0,問わ ない アプリ 配布 モバイル 端末 PC 業務 アプリ 配布
57,0,必要 アプリ 配布 手段 MobiControl アプリカタログ MobiControl パッケージ 用意 い
58,0,アプリカタログ 端末 開く アプリ 名前 アイコ ン 表示 れ アプリ
59,0,ダウンロード リンク 張っ 端末 ユーザ アプリ 選択 ダウンロード インストール MobiControl
60,0,パッケージ 使っ アプリ パッケージ アプリインストーラ スクリプト コマンド 挿入 により アプリ
61,0,サイレント インストール 可能 また インストール 前 必要 な 操作 実行
62,0,例えば 同じ アプリ 前 バージョン アンインストール インストール 実行 インストール 終了
63,0,端末 画面 メッセージ 表示 公開 アプリ 社内 開発 た 社内
64,0,限り アプリ 配布 公開 アプリ App ストア Google Play ストア
65,0,Windows ストア ダウンロード なる アプリ 指し アプリカタログ MobiControl パッケージ 公開
66,0,アプリ 社内 限り アプリダウンロード 社内 サーバ iOSAndroid PlusAndroid EnterpriseWindows PCWindows
67,0,EmbeddedLinux 表 背景 色 黄色 サイレント インストール 可能 サイレント インストール
68,0,端末 ユーザ 操作 せ ず ダウンロード インストール れ 業務 アプリ
69,0,迅速 な 展開 バージョンアップ 有用 注 アプリカタログ サイレント インストール アプリ
70,0,配布 オプション 必須 おく 必要 公開 アプリ iOS サイレント インストール
71,0,端末 監視 モード アプリ App ストア VPP 契約 デバイス タイプ
72,0,Android Enterprise 社内 限り アプリ managed Google Play ストア アップ
73,0,ロード 可能 アプリカタログ 使っ 配布 配布 社内 限定 配慮 おく
74,0,必要 オプション 設定 サーバ 設定 必須 ませ ん 設定 MobiControl
75,0,可用性 拡がり 社外 イントラネット 内部 リポジトリサーバ WebDAV SharePoint サーバ アクセス
76,0,ゲート ウェイ iOS 端末 Android 端末 適用 自分 端末 ステータス
77,0,端末 ユーザ 自身 対象 端末 スマホ タブレット PC 視る 端末
78,0,紛失 モード リモート 制御 サーバ MobiControl サーバ コンソール 権限 端末
79,0,ユーザ 付託 機能 MS Exchange サーバ 不法 アクセス 防止 対象
80,0,端末 iOS 端末 Android 端末 及び Windows Embedded 端末 参考
