,page,title,text,key_phrase
0,0, マーケット もっと みつかる たのしめる NTT ドコモ 公式,話題  トピック 口コミ  人気  商品   紹介 口コミ  話題 新 商品  人気 話題  商品  抽選 先着 方式  無料   試し いただけ ます 新着 話題  映画  音楽  無料  試せ ます 無料  試せる  役立ち テクノロジー スポーツ エン タメ  買い物  買い物 エン タメ スポーツ  役立ち 情報  わかる トレンド 情報 まとめ 無料  もらえる 最大 半額  試せる  得  商品 貯まっ  ポイント  ポイント 円  いただけ ます ポイント  つかう 簡単  ゲーム  あそぶ  毎日 ポイント  もらえる チャンス あそん  ためる もっと 見る サービス  探す トップ 話題  用品 食品  なんと 半額  試せる  とく  セール クーポン 情報  更新 セール クーポン もちろん ポイント  使え  たまる ,ポイント
1,1,ポイント 表示 設定  マーケット,ID ポイント 表示 設定,id ポイント 表示 設定
2,2,音楽  マーケット,CD DVD 音楽  ショッピング 洋楽  POP  ミュージック  POP  ヒッツ アニメ 初回 日間 無料  ためし 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  ヒップ ホップ   レゲエ 使え  使う あなた  合っ  コンテンツ  表示   ます あなた  おすすめ 音楽 ランキング  検索 結果 閉じる 検索 キーワード  入力   ください もしかして 検索 雑誌 本,検索条件
3,3, 買い物  マーケット,マタニティ ベビー キッズ 育児  ショッピング 美容 コス  香水 ヘア ボディ スキン ケア 香水 コスメ 食品 家電 米 全国 物産 グルメ 工芸 CD DVD DVD 映画 水 ソフトドリンク 音楽 趣味 アウトドア スポーツ スポーツ ウェア 用品  fashion ファッション グッズ アクセサリー  指定  検索 条件  該当 商品  あり ませ  でし  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 前   各種 設定 用品 医療 サプリ 家具 インテリア 寝具 収納 キッチン 魚介 類 季節  食品 使え  使う あなた  合っ  コンテンツ  表示   ます  買い物 検索  しかして おすすめ ワード 検索 キーワード  入力   ください 閉じる  検索 結果 標準 新着 順 価格  安い 順 価格  高い 順 タイトル 順 あい    順 この 価格  絞り込み  買い物 ランキング あなた  おすすめ 人気 順 おもちゃ ゲーム カメラ PC オフィス 用品 スイーツ お菓子,おすすめ ワード
4,4,スポーツ  マーケット,スポーツ ウェア 用品 雑誌 本 趣味 アウトドア スポーツ  マガジン 初回 日間 無料  ためし  ショッピング  ブック スポーツ  ゲーム ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 動画 ゲーム 各種 設定  前   指定  検索 条件  該当 商品  あり ませ  でし   アニメ ストア あなた  おすすめ スポーツ ランキング  検索 結果 閉じる 検索 キーワード  入力   ください もしかして 検索 使え  使う あなた  合っ  コンテンツ  表示   ます,スポーツ
5,5, インコ  探し   ポイント  ゲット しよ   マーケット NTT ドコモ 公式,ビジネス プレミア クラブ 会員   キャンペーン 対象  なり ます ドコモ  回線 契約  ない お客 さま ドコモ  お客 さま Wi Fi  アクセス   アカウント  必要 です キャンペーン  参加 適用   一 人さま 限り  なり ます 同 一人物 による 複数  応募  発覚   当選 結果  関わら  ポイント 進呈 対象 または ポイント 進呈 取消し     いただく  あり ます ので  注意 ください  機種   表示   ない 可能 性  ござい ます 本 キャンペーン に対する お客 さま  行為  不正 行為 本 規約 違反 運用  趣旨  反し  いる  弊社  判断     ポイント 進呈  対象  いたし ます 各種 設定 本 キャンペーン  予告 無く 中止    いただく  ござい ます 本 キャンペーン   ポイント クラブ 会員  お客 さま  限り ます システム メンテナンス  関係  本 キャンペーン  参加 でき ない  ござい ます  インコ  さがせ スタンプラリーキャンペーン  対象  インコ  探し  クリック   いただい  全員 キャンペーン 期間  金 午前 午前  なり ます 本 キャンペーン における 進呈 ポイント 数   一 人さま 最大 pt  なり ます  インコ  さがせ スタンプラリーキャンペーン   利用    アカウント  発行 もしくは ログイン  必要 です  インコ  さがせ スタンプラリーキャンペーン  スタンプ 獲得 個  スタンプ  獲得   翌日  マーケット   インコ  表示   なく なり ます 個  スタンプ  獲得    アカウント ログアウト   状態   マーケット  アクセス いただい    インコ  表示   ます ただし その  インコ  タップ    追加  スタンプ  獲得  でき ませ   インコ  さがせ スタンプラリーキャンペーン  特典  ポイント 期間 用途 限定  下旬 頃  進呈 いたし ます  ポイント 期間 用途 限定  ドコモ  提供 サービス 対象  サービス  あり ます  ポイント 加盟 店   利用 でき ます ポイント  有効 期限  進呈  翌月 下旬 です  インコ  さがせ  期間 無料  遊べ ます  スタンプ  獲得 上限   一 様 個  なり ます,ポインコ
6,6,習う  マーケット, ショッピング 資格 スキル アップ  ブック 雑誌 本 自己 啓発 音楽 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  あなた  おすすめ 習う ランキング  検索 結果 閉じる 検索 キーワード  入力   ください もしかして 検索 習う 使え  使う あなた  合っ  コンテンツ  表示   ます CD DVD,ただいま 検索 結果
7,7,会員 情報  確認 変更  マーケット, ポイント カード   利用  住所 連絡 電話 番号  必須 情報 です 各種 設定 認証 画面  表示   ます 必須 情報  削除   ポイント クラブ  退会 または  ポイント カード  削除  実施 お客様  自身  実施   ください  ポイント クラブ   利用  氏名 性別 生年月日  必須 情報 です 会員 情報  携帯 電話  各 ドコモサービス  契約 情報   異なり ます 会員 情報  変更    契約 請求 書 送付  反映   ませ  会員 情報    アカウント  ポイント クラブ  ポイント カード  ドコモ  各種 サービス  手続き  入力   情報 です ドコモ  各種 サービス  活用  ます 会員 情報   会員 情報 登録 編集 会員 情報   利用 にあたって,必須 情報
8,8,恋愛  マーケット,初回 日間 無料  ためし dTV ドラマ 韓 流 華 流 洋画 恋愛 青春 映画 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  SF ファンタジー 邦画 恋愛 ランキング  検索 結果 閉じる 検索 キーワード  入力   ください 検索 恋愛 もしかして あなた  おすすめ 海外 ドラマ 使え  使う あなた  合っ  コンテンツ  表示   ます,恋愛 ランキング
9,9, でかけ  マーケット, マガジン 雑誌 本 初回 日間 無料  ためし  トラベル 東北 ホテル 旅館 首都 圏 北関東 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 九州  指定  検索 条件  該当 商品  あり ませ  でし  あなた  おすすめ  でかけ ランキング 閉じる 検索 キーワード  入力   ください 検索  でかけ もしかして 使え  使う あなた  合っ  コンテンツ  表示   ます  検索 結果 近畿,おでかけ ランキング
10,10,ビジネス  マーケット, マガジン 資格 スキル アップ  ショッピング 雑誌 本 初回 日間 無料  ためし 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  あなた  おすすめ ビジネス ランキング  検索 結果 検索 キーワード  入力   ください もしかして 検索 ビジネス 使え  使う あなた  合っ  コンテンツ  表示   ます 閉じる,ビジネス ランキング
11,11,エン タメ  マーケット,DVD CD DVD dTV 初回 日間 無料  ためし 韓 流 華 流 音楽  ショッピング 映画 ドラマ  ミュージック アニメ 洋画 洋楽  POP お笑い 動画 雑誌 本  マガジン SF ファンタジー 邦画 海外 ドラマ  指定  検索 条件  該当 商品  あり ませ  でし  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 前   各種 設定 恋愛 青春 ヒップ ホップ   レゲエ テレビ エン タメ 検索  しかして 検索 キーワード  入力   ください 閉じる  検索 結果 あなた  おすすめ 使え  使う あなた  合っ  コンテンツ  表示   ます エンタメランキング,dvd cd
12,12,映画 ドラマ  マーケット,アニメ 初回 日間 無料  ためし ドラマ dTV  ショッピング 韓 流 華 流 CD DVD DVD 映画 キッズ 洋画 邦画 恋愛 青春  指定  検索 条件  該当 商品  あり ませ  でし  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 前  各種 設定  SF ファンタジー 使え  使う あなた  合っ  コンテンツ  表示   ます 映画 ドラマ あなた  おすすめ  しかして 検索 キーワード  入力   ください 閉じる 映画 ドラマ ランキング 検索  検索 結果,青春 ご指定
